Exchange Date,Close,Net,%Chg
45405,257.2182,0.3136,0.001220687
45404,256.9046,0.1158,0.000450954
45401,256.7888,0.5214,0.002034594
45400,256.2674,-0.7239,-0.002816827
45399,256.9913,1.2306,0.004811529
45398,255.7607,-1.3082,-0.005088908
45397,257.0689,-1.2132,-0.00469719
45394,258.2821,1.1025,0.004286887
45393,257.1796,-0.5979,-0.002319442
45392,257.7775,-3.2549,-0.012469333
45391,261.0324,0.9365,0.003600595
45390,260.0959,-0.0501,-0.000192584
45387,260.146,-1.6749,-0.006397121
45386,261.8209,1.1872,0.004555052
45385,260.6337,-0.0157,-6.02342E-05
45384,260.6494,-0.184,-0.000705431
45383,260.8334,-2.042,-0.007767939
45379,262.8754,0.0154,5.85863E-05
45378,262.86,0.8854,0.003379717
45377,261.9746,0.1426,0.000544624
45376,261.832,-0.9405,-0.003579142
45373,262.7725,1.3398,0.005124837
45372,261.4327,0.6801,0.002608219
45371,260.7526,1.1737,0.004521554
45370,259.5789,0.5142,0.001984832
45369,259.0647,-0.3645,-0.001405008
45366,259.4292,-0.1472,-0.000567078
45365,259.5764,-2.2154,-0.00846245
45364,261.7918,-0.6423,-0.002447472
45363,262.4341,-0.6035,-0.002294349
45362,263.0376,-0.4828,-0.001832116
45359,263.5204,0.3903,0.001483297
45358,263.1301,-0.3552,-0.001348083
45357,263.4853,0.2665,0.001012466
45356,263.2188,1.5836,0.006052702
45355,261.6352,-0.0704,-0.000269005
45352,261.7056,1.0741,0.004121144
45351,260.6315,0.747,0.002874354
45350,259.8845,1.1181,0.004320886
45349,258.7664,-0.6162,-0.002375641
45348,259.3826,0.0121,4.66514E-05
45345,259.3705,0.992,0.003839329
45344,258.3785,-0.49,-0.001892853
45343,258.8685,-0.7786,-0.002998686
45342,259.6471,0.3443,0.001327791
45338,259.3028,-0.4901,-0.001886503
45337,259.7929,0.4148,0.00159921
45336,259.3781,1.5311,0.005938018
45335,257.847,-2.3077,-0.008870491
45334,260.1547,-0.0704,-0.000270535
45331,260.2251,-0.3665,-0.001406415
45330,260.5916,-0.5753,-0.002202806
45329,261.1669,-0.6141,-0.002345854
45328,261.781,1.1163,0.004282513
45327,260.6647,-1.9275,-0.007340279
45324,262.5922,-3.5854,-0.013469954
45323,266.1776,0.4481,0.001686301
45322,265.7295,2.3553,0.008942789
45321,263.3742,0.1635,0.000621175
45320,263.2107,1.6252,0.006212883
45317,261.5855,-0.2611,-0.000997149
45316,261.8466,0.9659,0.003702459
45315,260.8807,-0.7255,-0.002773252
45314,261.6062,-1.1479,-0.004368723
45313,262.7541,0.1506,0.000573488
45310,262.6035,0.3301,0.00125861
45309,262.2734,0.037,0.000141094
45308,262.2364,-0.8949,-0.003400964
45307,263.1313,-2.0128,-0.007591344
45303,265.1441,1.682,0.00638422
45302,263.4621,1.7667,0.006750978
45301,261.6954,-0.428,-0.001632819
45300,262.1234,-0.5152,-0.001961631
45299,262.6386,0.8239,0.003146882
45296,261.8147,-0.8086,-0.003078935
45295,262.6233,-1.9951,-0.007539536
45294,264.6184,0.6709,0.002541793
45293,263.9475,-0.6849,-0.002588118
45289,264.6324,-0.1837,-0.000693689
45288,264.8161,-1.4302,-0.005371718
45287,266.2463,1.9526,0.007387993
45286,264.2937,-0.0995,-0.000376333
45282,264.3932,-0.3757,-0.001418973
45281,264.7689,-0.5845,-0.002202723
45280,265.3534,1.6567,0.006282597
45279,263.6967,0.219,0.00083119
45278,263.4777,-0.995,-0.003762203
45275,264.4727,-0.5,-0.001886987
45274,264.9727,4.0226,0.015415208
45273,260.9501,4.2792,0.016671933
45272,256.6709,0.0076,2.96108E-05
45271,256.6633,-0.4451,-0.001731176
45268,257.1084,-0.3308,-0.001284964
45267,257.4392,-0.6268,-0.002428836
45266,258.066,0.3857,0.001496816
45265,257.6803,1.8686,0.007304592
45264,255.8117,-1.3756,-0.005348631
45261,257.1873,2.2323,0.008755663
45260,254.955,-0.9425,-0.003683115
45259,255.8975,1.3413,0.00526917
45258,254.5562,1.3012,0.005137904
45257,253.255,1.192,0.004728976
45254,252.063,-1.4591,-0.005755317
45252,253.5221,0.1569,0.000619264
45251,253.3652,-0.8151,-0.003206779
45250,254.1803,1.1096,0.004384546
45247,253.0707,0.1568,0.000619974
45246,252.9139,1.6354,0.006508316
45245,251.2785,-1.6149,-0.006385695
45244,252.8934,3.1133,0.012464163
45243,249.7801,-0.1614,-0.000645751
45240,249.9415,-0.0521,-0.000208405
45239,249.9936,-3.052,-0.012061067
45238,253.0456,0.8744,0.003467486
45237,252.1712,1.0878,0.004332425
45236,251.0834,-1.0471,-0.004153008
45233,252.1305,2.0133,0.008049426
45232,250.1172,1.7201,0.006924799
45231,248.3971,3.1664,0.012911923
45230,245.2307,-0.9683,-0.003932997
45229,246.199,-0.7107,-0.00287838
45226,246.9097,0.4261,0.001728715
45225,246.4836,1.899,0.007764185
45224,244.5846,-1.7262,-0.007008219
45223,246.3108,0.6848,0.002787978
45219,245.626,1.0129,0.004140825
45218,244.6131,-0.4614,-0.001882693
45217,245.0745,-0.9243,-0.003757335
45216,245.9988,-2.0608,-0.008307681
45215,248.0596,-0.8319,-0.00334242
45212,248.8915,1.8959,0.007675845
45211,246.9956,-2.5639,-0.010273702
45210,249.5595,1.9376,0.007824833
45209,247.6219,3.4594,0.014168433
45205,244.1625,-1.5113,-0.006151653
45204,245.6738,-0.3737,-0.001518812
45203,246.0475,1.4731,0.006023116
45202,244.5744,-2.477,-0.010026254
45201,247.0514,-2.3919,-0.009588953
45198,249.4433,-0.8471,-0.003384469
45197,250.2904,1.6234,0.006528409
45196,248.667,-0.773,-0.003098942
45195,249.44,-0.899,-0.00359113
45194,250.339,-2.8172,-0.011128307
45191,253.1562,1.3267,0.005268247
45190,251.8295,-1.9901,-0.007840608
45189,253.8196,-0.7279,-0.002859584
45188,254.5475,-0.8563,-0.00335273
45187,255.4038,0.7499,0.002944781
45184,254.6539,-0.8116,-0.003176946
45183,255.4655,-0.688,-0.00268589
45182,256.1535,0.361,0.0014113
45181,255.7925,0.3635,0.001423096
45180,255.429,-0.467,-0.00182496
45177,255.896,0.6545,0.002564238
45176,255.2415,1.2442,0.004898477
45175,253.9973,-0.6459,-0.00253649
45174,254.6432,-0.9003,-0.003523079
45170,255.5435,-1.8512,-0.007192067
45169,257.3947,0.122,0.000474205
45168,257.2727,-0.5093,-0.0019757
45167,257.782,1.7542,0.0068516
45166,256.0278,0.4049,0.001583974
45163,255.6229,-0.0902,-0.000352739
45162,255.7131,-1.5538,-0.006039642
45161,257.2669,3.2609,0.012837886
45160,254.006,0.2866,0.001129594
45159,253.7194,-0.9776,-0.003838286
45156,254.697,0.6634,0.002611466
45155,254.0336,-0.5063,-0.001989079
45154,254.5399,-1.1366,-0.004445461
45153,255.6765,-1.3457,-0.005235735
45152,257.0222,-0.7247,-0.002811673
45149,257.7469,-0.801,-0.003098072
45148,258.5479,-2.1786,-0.008355883
45147,260.7265,-0.0895,-0.000343154
45146,260.816,0.287,0.001101605
45145,260.529,0.155,0.000595298
45142,260.374,3.4639,0.013482927
45141,256.9101,-2.5951,-0.010000185
45140,259.5052,-0.6329,-0.002432939
45139,260.1381,-2.5185,-0.009588565
45138,262.6566,0.0463,0.000176307
45135,262.6103,1.3521,0.00517534
45134,261.2582,-3.1299,-0.011838279
45133,264.3881,0.1997,0.0007559
45132,264.1884,-0.694,-0.002620031
45131,264.8824,0.3456,0.001306434
45128,264.5368,0.1143,0.000432263
45127,264.4225,-0.3976,-0.001501397
45126,264.8201,1.138,0.004315803
45125,263.6821,-0.3524,-0.001334674
45124,264.0345,0.9402,0.003573624
45121,263.0943,-1.6738,-0.006321759
45120,264.7681,1.8625,0.007084292
45119,262.9056,3.6955,0.014256775
45118,259.2101,1.1833,0.004585958
45114,258.0268,-0.3523,-0.0013635
45113,258.3791,-2.2296,-0.008555355
45112,260.6087,-1.8167,-0.006922729
