Exchange Date;Close;Adjusted Close;Net;%Chg;Open;Low;High;Volume;Turnover - EUR;Flow
11. Apr 24;201.79;;-1.04;-0.51%;203.28;197.71;204.22;315.775;63581950.94;4082328056.74
10. Apr 24;202.83;;-1.76;-0.86%;202.32;201.19;205.92;359.442;73221916.54;4138974148.2
09. Apr 24;204.59;;Feb 84;1.41%;203.59;201.01;205.98;311.010;63534836.98;4168306296.63
08. Apr 24;201.75;;Mrz 31;1.67%;198.33;195.89;203.21;267.087;53783938.94;4103657521.9
05. Apr 24;198.44;;-1.08;-0.54%;198.37;195.59;201.83;392.114;77.718.442,00;4058448420.08
04. Apr 24;199.52;;-3.55;-1.75%;204.36;198.03;208.46;511.415;103177116.26;4136166862.07
03. Apr 24;203.07;;Mai 73;2.9%;195.57;194.65;204.1;461.976;93281776.44;4239343978.33
02. Apr 24;197.34;;-5.77;-2.84%;199.81;193.66;199.81;504.272;99270234.48;4171892825.73
01. Apr 24;203.12;;-1.37;-0.67%;204.86;200.64;206.3;552.572;112334813.74;4281097281.05
28. Mrz 24;204.49;;-1.08;-0.53%;205.54;201.73;208.95;566.709;116131067.46;4375496636.54
27. Mrz 24;205.57;;-0.75;-0.36%;208.6;199.22;209.34;390.723;79495705.87;4475444975.61
26. Mrz 24;206.32;;-2.71;-1.3%;209.93;201.65;211.46;599.394;124194139.76;4553264076.7
25. Mrz 24;209.03;;-5.77;-2.69%;211.68;208.86;213.95;320.962;67538837.24;4674874713.07
22. Mrz 24;214.8;;-2.16;-1,00%;217.05;209.23;218.42;323.684;69233514.78;4756031576.97
21. Mrz 24;216.96;;Feb 64;1.23%;218.6;216.75;226.14;972.888;215061979.37;4.800.812.911,00
20. Mrz 24;214.33;;Mai 23;2.5%;208.31;207.96;219.78;621.181;133131406.52;4561398109.6
19. Mrz 24;209.09;;Sep 91;4.98%;198.99;195.14;209.47;463.092;94913682.62;4449878145.31
18. Mrz 24;199.18;;0.47;0.23%;201.52;196.49;203.07;347.489;69216131.43;4352551320.57
15. Mrz 24;198.71;;-11.04;-5.27%;208.73;197.48;209.65;653.445;131563250.86;4277049040.4
14. Mrz 24;209.76;;Mrz 68;1.79%;208.34;203.46;210.82;557.234;115569958.9;4411012110.7
13. Mrz 24;206.08;;-4.14;-1.97%;207.92;203.85;210.2;634.339;130787815.89;4269969468.94
12. Mrz 24;210.22;;Jun 45;3.16%;205.66;205.05;212.28;512.433;107612040.65;4409620650.27
11. Mrz 24;203.77;;Aug 53;4.37%;200.33;197.61;206.81;683.337;138919430.11;4301209696.05
08. Mrz 24;195.24;;Jan 68;0.87%;194.38;190.35;197.98;609.675;119143836.12;4158106374.07
07. Mrz 24;193.56;;-1.23;-0.63%;195.09;190.91;196.42;584.559;113188738.67;4035649486.96
06. Mrz 24;194.79;;0.4;0.2%;197.37;190.06;199.82;669.326;130021556.87;4167457543.83
05. Mrz 24;194.39;;-12.7;-6.13%;203.87;183.66;203.87;1.278.915;243934185.84;4053054609.74
04. Mrz 24;207.09;;-11.14;-5.1%;219.27;205.45;219.3;1.205.126;253627798.42;4297408591.93
01. Mrz 24;218.22;;-3.01;-1.36%;220.15;212.42;223.18;1.330.701;289365505.98;4558149545.83
29. Feb 24;221.24;;40.81;22.62%;222.73;205.45;222.87;3.467.533;748383858.96;4862802091.56
28. Feb 24;180.43;;1;0.56%;179.53;174.4;182.55;1.509.954;277252799.11;4101883895.95
27. Feb 24;179.43;;10. Mrz;5.92%;173.37;172.91;182.66;1.259.785;225625237.81;3821812925.8
26. Feb 24;169.39;;Mai 65;3.45%;165.85;163.41;171.67;751.001;127351246.1;3595173765.61
23. Feb 24;163.74;;0.17;0.1%;164.13;162.93;167.09;392.637;64550333.96;3477151195.69
22. Feb 24;163.57;;Feb 47;1.53%;165.26;161.69;166.09;604.717;98994652.52;3411013416.64
21. Feb 24;161.1;;-5.55;-3.33%;163.25;158.68;164.78;406.586;65597431.97;3313846905.56
20. Feb 24;166.65;;-4.97;-2.9%;168.61;163.52;169.4;534.756;88768792.71;3383830994.97
16. Feb 24;171.62;;-3.33;-1.9%;173.57;169.37;173.57;387.175;66513522.54;3481940884.91
15. Feb 24;174.94;;-1.8;-1.02%;176.11;170.46;177.15;481.212;83871764.72;3549448415.11
14. Feb 24;176.75;;Mai 74;3.36%;173.67;171.56;178.34;500.016;88237451.16;3648895689.1
13. Feb 24;171;;-4.78;-2.72%;170.08;166.63;175.37;583.045;100210684.21;3565966383.53
12. Feb 24;175.79;;-2.05;-1.15%;179.31;175.31;183.42;591.121;105970775.15;3645093771.87
09. Feb 24;177.83;;Mai 91;3.44%;172.47;171.91;180.37;762.285;135810163.87;3747226293.51
08. Feb 24;171.92;;Feb 51;1.48%;170.86;169.4;174.43;460.859;79234918.17;3613440924.39
07. Feb 24;169.41;;Feb 97;1.78%;165.5;163.08;169.52;421.556;70671969.15;3535843640.88
06. Feb 24;166.44;;0.49;0.29%;166.45;165.69;172.75;433.324;72673818.71;3470658199.76
05. Feb 24;165.95;;0.07;0.04%;166.65;163.37;167.77;520.107;86047913.1;3402077061.38
02. Feb 24;165.88;;-1;-0.6%;165.86;165.19;170.28;415.371;69407445.24;3474225076.89
01. Feb 24;166.89;;Jan 49;0.9%;167.4;160.7;167.48;634.033;104325641.94;3514933416.94
31. Jan 24;165.39;;-7.28;-4.22%;171.01;165.23;172.13;600.001;100562379.36;3428295072.19
30. Jan 24;172.68;;-5.27;-2.96%;177.12;170.09;178.94;516.324;89191008.5;3521033018.55
29. Jan 24;177.95;;0.2;0.11%;177.94;175.61;179.76;622.347;110653231.7;3612572114.79
26. Jan 24;177.75;;0.75;0.42%;177.6;176.23;179.14;375.742;66793740.06;3716691320.14
25. Jan 24;177;;Jan 89;1.08%;177.95;172.63;177.95;508.678;89138235.31;3651917621.28
24. Jan 24;175.11;;-2.34;-1.32%;180.1;174.23;180.71;433.931;76496462.26;3550645842.29
23. Jan 24;177.45;;-3.27;-1.81%;183.39;175.19;183.39;439.394;77891242.93;3637839859.84
22. Jan 24;180.72;;Feb 14;1.2%;183.62;176.76;187.03;626.708;113483878.43;3705489930.63
19. Jan 24;178.58;;-5.17;-2.81%;175.84;167.66;178.64;1.174.821;205560419.11;3586729610.55
18. Jan 24;183.75;;-1.51;-0.81%;188.71;180.25;190.54;652.008;119579840.24;3800307031.95
17. Jan 24;185.26;;-8.2;-4.24%;189.7;172.79;189.95;1.059.835;192843899.09;3917371992.94
16. Jan 24;193.46;;-0.17;-0.09%;193.57;192.67;197.15;422.077;81961944.52;4112854573.44
12. Jan 24;193.64;;-2.07;-1.06%;196.03;191.8;197.73;437.673;84898738.11;4166124888.92
11. Jan 24;195.71;;-0.93;-0.47%;197.08;190.69;199.36;399.880;78007123.95;4242878387.8
10. Jan 24;196.64;;Mrz 89;2.02%;193.68;191.5;199.61;504.861;99232863.53;4320458912.11
