Exchange Date,Close,Net,%Chg,Open,Low,High,Volume,Bid,Ask
44998,80.77,-2.01,-0.024281227,82.6,78.34,83.48,467281,80.67,80.77
44995,82.78,1.19,0.014585121,81.47,80.73,83.11,369281,82.64,82.79
44994,81.59,-1.07,-0.012944592,82.55,81.42,84,282564,81.53,81.56
44993,82.66,-0.63,-0.007563933,83.03,82.06,83.59,297087,82.47,82.52
44992,83.29,-2.89,-0.033534463,86.23,82.83,86.75,295188,83.08,83.1
44991,86.18,0.35,0.004077828,85.83,84.34,86.35,244340,86.25,86.27
44988,85.83,1.08,0.012743363,84.61,82.36,86,312895,85.99,86
44987,84.75,0.44,0.005218835,84.31,83.83,85.1,214215,84.32,84.43
44986,84.31,0.42,0.005006556,83.05,82.61,84.49,242656,84.35,84.45
44985,83.89,1.44,0.01746513,82.3,82.19,84.15,12300,83.87,83.9
44984,82.45,-0.71,-0.008537759,83.19,81.73,83.6,58845,82.36,82.52
44981,83.16,0.95,0.011555772,82.49,81.07,83.39,107150,83.18,83.22
44980,82.21,1.61,0.019975186,80.48,80.4,82.77,157669,82.43,82.45
44979,80.6,-2.45,-0.029500301,82.78,80.43,83.25,253144,80.46,80.51
44978,83.05,-1.02,-0.012132747,83.86,82.56,84.2,231628,82.74,82.77
