Exchange Date,Close,Net,%Chg,Open,Low,High
45602,12984.7314,320.4074,0.0253,12984.7314,12984.7314,12984.7314
45601,12664.324,153.5895,0.012276617,12664.324,12664.324,12664.324
45600,12510.7345,-34.6674,-0.002763355,12510.7345,12510.7345,12510.7345
45597,12545.4019,51.6655,0.004135312,12545.4019,12545.4019,12545.4019
45596,12493.7364,-235.9908,-0.018538559,12493.7364,12493.7364,12493.7364
45595,12729.7272,-42.0756,-0.003294414,12729.7272,12729.7272,12729.7272
45594,12771.8028,20.5808,0.001614026,12771.8028,12771.8028,12771.8028
45593,12751.222,33.8817,0.002664213,12751.222,12751.222,12751.222
45590,12717.3403,-3.7061,-0.000291336,12717.3403,12717.3403,12717.3403
45589,12721.0464,27.2308,0.002145202,12721.0464,12721.0464,12721.0464
45588,12693.8156,-117.5433,-0.009174928,12693.8156,12693.8156,12693.8156
45587,12811.3589,-6.0294,-0.000470408,12811.3589,12811.3589,12811.3589
45586,12817.3883,-22.9119,-0.001784374,12817.3883,12817.3883,12817.3883
45583,12840.3002,51.5175,0.004028335,12840.3002,12840.3002,12840.3002
45582,12788.7827,-2.0598,-0.000161037,12788.7827,12788.7827,12788.7827
45581,12790.8425,59.7445,0.0046928,12790.8425,12790.8425,12790.8425
45580,12731.098,-96.5324,-0.007525349,12731.098,12731.098,12731.098
45579,12827.6304,98.107,0.007707044,12827.6304,12827.6304,12827.6304
45576,12729.5234,76.6861,0.006060783,12729.5234,12729.5234,12729.5234
45575,12652.8373,-24.3206,-0.001918458,12652.8373,12652.8373,12652.8373
45574,12677.1579,89.9031,0.007142391,12677.1579,12677.1579,12677.1579
45573,12587.2548,120.8447,0.009693625,12587.2548,12587.2548,12587.2548
45572,12466.4101,-120.5005,-0.009573477,12466.4101,12466.4101,12466.4101
45569,12586.9106,114.5239,0.009182196,12586.9106,12586.9106,12586.9106
45568,12472.3867,-20.9671,-0.00167826,12472.3867,12472.3867,12472.3867
45567,12493.3538,2.4821,0.000198713,12493.3538,12493.3538,12493.3538
45566,12490.8717,-117.202,-0.00929579,12490.8717,12490.8717,12490.8717
45565,12608.0737,54.2966,0.004325121,12608.0737,12608.0737,12608.0737
45562,12553.7771,-15.3511,-0.001221334,12553.7771,12553.7771,12553.7771
45561,12569.1282,51.3096,0.004098925,12569.1282,12569.1282,12569.1282
45560,12517.8186,-23.2701,-0.001855509,12517.8186,12517.8186,12517.8186
45559,12541.0887,31.4746,0.002516033,12541.0887,12541.0887,12541.0887
45558,12509.6141,35.1715,0.002819485,12509.6141,12509.6141,12509.6141
45555,12474.4426,-24.1504,-0.001932249,12474.4426,12474.4426,12474.4426
45554,12498.593,209.3293,0.01703351,12498.593,12498.593,12498.593
45553,12289.2637,-35.4818,-0.002878907,12289.2637,12289.2637,12289.2637
45552,12324.7455,3.535,0.000286904,12324.7455,12324.7455,12324.7455
45551,12321.2105,17.9475,0.001458759,12321.2105,12321.2105,12321.2105
45548,12303.263,68.2024,0.005574341,12303.263,12303.263,12303.263
45547,12235.0606,91.2117,0.007510938,12235.0606,12235.0606,12235.0606
45546,12143.8489,128.2746,0.010675694,12143.8489,12143.8489,12143.8489
45545,12015.5743,53.8295,0.004500138,12015.5743,12015.5743,12015.5743
45544,11961.7448,138.1744,0.011686352,11961.7448,11961.7448,11961.7448
45541,11823.5704,-206.1483,-0.017136585,11823.5704,11823.5704,11823.5704
45540,12029.7187,-35.972,-0.002981346,12029.7187,12029.7187,12029.7187
45539,12065.6907,-18.8746,-0.001561877,12065.6907,12065.6907,12065.6907
45538,12084.5653,-259.8671,-0.021051361,12084.5653,12084.5653,12084.5653
45534,12344.4324,125.0493,0.010233684,12344.4324,12344.4324,12344.4324
45533,12219.3831,0.1522,1.24558E-05,12219.3831,12219.3831,12219.3831
45532,12219.2309,-73.4051,-0.005971469,12219.2309,12219.2309,12219.2309
45531,12292.636,20.5524,0.001674728,12292.636,12292.636,12292.636
45530,12272.0836,-38.5451,-0.003131042,12272.0836,12272.0836,12272.0836
45527,12310.6287,139.9173,0.01149623,12310.6287,12310.6287,12310.6287
45526,12170.7114,-109.4691,-0.008914291,12170.7114,12170.7114,12170.7114
45525,12280.1805,52.3812,0.00428378,12280.1805,12280.1805,12280.1805
45524,12227.7993,-23.9434,-0.001954285,12227.7993,12227.7993,12227.7993
45523,12251.7427,119.2656,0.009830276,12251.7427,12251.7427,12251.7427
45520,12132.4771,25.7948,0.002130625,12132.4771,12132.4771,12132.4771
45519,12106.6823,195.6587,0.016426691,12106.6823,12106.6823,12106.6823
45518,11911.0236,45.7326,0.003854318,11911.0236,11911.0236,11911.0236
45517,11865.291,196.7056,0.016857708,11865.291,11865.291,11865.291
45516,11668.5854,2.0905,0.000179188,11668.5854,11668.5854,11668.5854
45513,11666.4949,55.6578,0.004793608,11666.4949,11666.4949,11666.4949
45512,11610.8371,261.5936,0.023049431,11610.8371,11610.8371,11610.8371
45511,11349.2435,-88.0751,-0.007700677,11349.2435,11349.2435,11349.2435
45510,11437.3186,117.3572,0.010367279,11437.3186,11437.3186,11437.3186
45509,11319.9614,-349.2231,-0.02992695,11319.9614,11319.9614,11319.9614
45506,11669.1845,-218.3586,-0.01836869,11669.1845,11669.1845,11669.1845
45505,11887.5431,-164.5454,-0.013652854,11887.5431,11887.5431,11887.5431
45504,12052.0885,188.2871,0.015870723,12052.0885,12052.0885,12052.0885
45503,11863.8014,-59.0837,-0.004955487,11863.8014,11863.8014,11863.8014
45502,11922.8851,9.8437,0.000826296,11922.8851,11922.8851,11922.8851
45499,11913.0414,131.4718,0.011159107,11913.0414,11913.0414,11913.0414
45498,11781.5696,-60.7867,-0.00513299,11781.5696,11781.5696,11781.5696
45497,11842.3563,-280.4736,-0.023135984,11842.3563,11842.3563,11842.3563
45496,12122.8299,-18.9166,-0.00155798,12122.8299,12122.8299,12122.8299
45495,12141.7465,130.1396,0.010834487,12141.7465,12141.7465,12141.7465
45492,12011.6069,-85.6389,-0.007079206,12011.6069,12011.6069,12011.6069
45491,12097.2458,-95.2464,-0.007811889,12097.2458,12097.2458,12097.2458
45490,12192.4922,-172.0629,-0.013915818,12192.4922,12192.4922,12192.4922
45489,12364.5551,78.5038,0.006389669,12364.5551,12364.5551,12364.5551
45488,12286.0513,35.8624,0.002927498,12286.0513,12286.0513,12286.0513
45485,12250.1889,67.215,0.005517126,12250.1889,12250.1889,12250.1889
45484,12182.9739,-107.2386,-0.008725529,12182.9739,12182.9739,12182.9739
45483,12290.2125,125.6455,0.01032881,12290.2125,12290.2125,12290.2125
45482,12164.567,9.2929,0.000764516,12164.567,12164.567,12164.567
45481,12155.2741,12.7387,0.001049097,12155.2741,12155.2741,12155.2741
45478,12142.5354,67.7084,0.005607401,12142.5354,12142.5354,12142.5354
45476,12074.827,61.4259,0.005113115,12074.827,12074.827,12074.827
45475,12013.4011,74.0209,0.006199727,12013.4011,12013.4011,12013.4011
45474,11939.3802,32.23,0.002706777,11939.3802,11939.3802,11939.3802
45471,11907.1502,-47.3545,-0.003961226,11907.1502,11907.1502,11907.1502
45470,11954.5047,10.9759,0.000918983,11954.5047,11954.5047,11954.5047
45469,11943.5288,18.777,0.001574624,11943.5288,11943.5288,11943.5288
45468,11924.7518,46.7126,0.003932686,11924.7518,11924.7518,11924.7518
